w,u
949.597983803232, 0.0008196721311475411
959.4472303364734, 0.0010163934426229509
970.9045171200398, 0.0010819672131147542
979.9497435281186, 0.0015409836065573771
989.79899006136, 0.002360655737704918
1000.6532617510545, 0.0041639344262295085
1010.5025205526694, 0.0065245881627817625
1019.949744754956, 0.00839344262295082
1030.4020063820692, 0.009901639344262296
1040.2512529153105, 0.011540983606557378
1050.3015044798426, 0.012885245901639345
1060.150751013084, 0.014098359655161374
1070.4020076089066, 0.01540983506499744
1080.0502491108573, 0.016459016393442626
1090.1005006753894, 0.017442622950819674
1100.1507522399213, 0.018393442622950822
1109.9999987731626, 0.019409836065573772
1119.0452251812414, 0.020295081967213115
