w,u
1149.5980144741657, 0.0002295081967213115
1140.3517584980493, 0.00026229508196721314
1130.1005019022266, 0.00026229508196721314
1120.4522849370228, 0.00026229508196721314
1109.798993741872, 0.00029507996606045083
1099.5477371460493, 0.00029507996606045083
1090.30150570668, 0.00029507996606045083
1079.648239048276, 0.00042622950819672133
1069.597987483744, 0.0004918032786885246
1059.9497459817933, 0.0007540983606557377
1049.49748435468, 0.0008524590163934427
1039.447232790148, 0.0009508176709784837
1029.396981225616, 0.0016065553758965166
1019.949744754956, 0.002459016393442623
