X_2,B
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-3.5560765947416114e-17,0.0
1.5832320256977444e-16,0.0
-3.206752440398023e-16,0.0
-2.5570809918580247e-16,0.0
-3.04795048126742e-17,0.0
-3.206752087424588e-16,0.0
1.5832323423392013e-16,0.0
-3.556072578402911e-17,0.0
1.4601792294652527e-13,0.0
3.0847145196412954e-14,0.0
-1.732089402111378e-13,0.0
-1.937796503882594e-13,0.0
-1.9399710085220712e-13,0.0
-1.7332748819782213e-13,0.0
3.081551426061166e-14,0.0
1.459972773230581e-13,0.0
1.453214541743886e-13,0.0
3.024568899537383e-14,0.0
-1.7237016793270749e-13,0.0
-1.9291139500878896e-13,0.0
1.9378007008154578e-13,0.0
1.734209025196244e-13,0.0
-3.0397546233170076e-14,0.0
-1.4584605364223035e-13,0.0
-1.4648078073681147e-13,0.0
-3.0942317956643224e-14,0.0
1.7281061244194756e-13,0.0
1.9334502396644475e-13,0.0
1.9310202188373499e-13,0.0
1.7227977016472363e-13,0.0
-3.0517408049736246e-14,0.0
-1.4496464618188813e-13,0.0
-2.664646252817826e-16,0.0
1.311775795190997e-16,0.0
-2.806288632502407e-17,0.0
-1.9556609335741845e-13,0.0
-1.7474996173992176e-13,0.0
3.1494622188606186e-14,0.0
1.4902977758877047e-13,0.0
1.9468982854799308e-13,0.0
1.7372196871646936e-13,0.0
-3.1315071517191153e-14,0.0
-1.4865950384277155e-13,0.0
-1.5087349363671457e-13,0.0
-3.21250554783993e-14,0.0
1.7415582968084659e-13,0.0
1.9499047277092938e-13,0.0
1.9542378004676765e-13,0.0
1.747814543650375e-13,0.0
-3.1115846605064545e-14,0.0
-1.4875870216365636e-13,0.0
1.4956316975487627e-13,0.0
3.120882103779504e-14,0.0
-1.7377398314668544e-13,0.0
-1.9451145516475555e-13,0.0
1.490572215146768e-13,0.0
3.1592478032993984e-14,0.0
-1.7455516635326038e-13,0.0
-1.9545046170417395e-13,0.0
-1.4648078076377807e-13,0.0
