Sweep step,Time,Job id,NNM-0,Iter ,Predictor-0
0,160.7488301552879,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,0.00013238579894213622,-,-
0,160.7522410576577,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,0.00026477135433345983,7,-
0,160.7568326376052,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,-,-,0.0004479626808081904
0,160.75693814761456,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,0.00040822159425081913,9,-
0,160.75918309334992,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,-,-,0.00047680680372297086
0,160.7592092245827,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,0.0004618702558338407,5,-
0,160.761931031169,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,-,-,0.0005261665238259709
0,160.7619405569033,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,0.000519099630352968,3,-
0,160.76521752539728,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,-,-,0.0005877617975382586
0,160.76522618734688,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,0.0005805162325828683,9,-
0,160.76916839399604,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,-,-,0.0006542061112168553
0,160.76917642342212,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,0.000646680971747509,9,-
0,160.7739162106804,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,-,-,0.0007260704441209231
0,160.7739237537896,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,0.0007181783088370885,4,-
0,160.77962009937602,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,-,-,0.0008039683275337628
0,160.77962726708066,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,0.0007956272942623014,6,-
0,160.78647106437958,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,-,-,0.000888560392712244
0,160.78647793809725,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,0.0008796887887407091,3,-
0,160.79469834925786,f5bd22f4-0fbb-42c7-b35f-8112e8a81dd5,-,-,0.0009805577467974207
