Sweep step,Time,Job id,Forward-0,Iter ,factor_step_size,Angle [rad],Predictor-0,Predictor-1,Forward-1,Bifurcation,Predictor-2,Forward-2
0,160,e3c42e2c-2b8d-4530-a765-e29ad25aafe8,0.003832760292038418,-,-,-,-,-,-,-,-,-
0,160.59996762602924,e3c42e2c-2b8d-4530-a765-e29ad25aafe8,0.0046449331302910995,3,1.868259044143685,0.0004821212769415551,-,-,-,-,-,-
0,160.59997017908634,e3c42e2c-2b8d-4530-a765-e29ad25aafe8,-,-,-,-,0.004615376294414216,-,-,-,-,-
0,161.7208588761373,e3c42e2c-2b8d-4530-a765-e29ad25aafe8,-,-,-,-,0.006207677370217156,-,-,-,-,-
0,161.72085940742926,e3c42e2c-2b8d-4530-a765-e29ad25aafe8,0.006185117206408588,4,1.8680856689788747,0.0007769553983787902,-,-,-,-,-,-
0,162.907343126729,e3c42e2c-2b8d-4530-a765-e29ad25aafe8,-,-,-,-,-,0.0038967025424103538,-,-,-,-
0,162.90734545201505,e3c42e2c-2b8d-4530-a765-e29ad25aafe8,-,-,-,-,-,0.0038917954487369673,-,-,-,-
0,162.90734773559947,e3c42e2c-2b8d-4530-a765-e29ad25aafe8,-,2,0.7944496660069266,0.10816089575662247,-,-,0.0038965325360917767,-,-,-
0,162.90734868085673,e3c42e2c-2b8d-4530-a765-e29ad25aafe8,-,1,0.8777370770737492,0.08782999021001532,-,-,0.0038917687864209283,0.0038917687864209283,-,-
0,162.90734889515144,e3c42e2c-2b8d-4530-a765-e29ad25aafe8,-,-,-,-,-,0.003902953162011684,-,-,-,-
0,162.90735230434134,e3c42e2c-2b8d-4530-a765-e29ad25aafe8,-,-,-,-,-,-,-,-,0.003887629397271084,-
0,162.90735467521216,e3c42e2c-2b8d-4530-a765-e29ad25aafe8,-,1,0.9325012817800443,0.07276319250031656,-,-,-,-,-,0.003887664594231951
0,162.9073555696327,e3c42e2c-2b8d-4530-a765-e29ad25aafe8,-,2,0.6974245265223719,0.13001069866566822,-,-,0.003902452008699012,-,-,-
0,162.90736236128492,e3c42e2c-2b8d-4530-a765-e29ad25aafe8,-,-,-,-,-,-,-,-,0.0038839110312292114,-
0,162.90736417603048,e3c42e2c-2b8d-4530-a765-e29ad25aafe8,-,2,0.9707410892390873,0.06072489880033573,-,-,-,-,-,0.0038839741817594652
0,162.90737502661997,e3c42e2c-2b8d-4530-a765-e29ad25aafe8,-,-,-,-,-,-,-,-,0.003880478318650978,-
0,162.90737516062995,e3c42e2c-2b8d-4530-a765-e29ad25aafe8,-,-,-,-,-,0.003911148987782904,-,-,-,-
0,162.90737646626783,e3c42e2c-2b8d-4530-a765-e29ad25aafe8,-,2,0.997043419239964,0.05117043231252214,-,-,-,-,-,0.00388055429602936
