Sweep step,Eigenmode,Job id,RPM,Eigenfrequencies
0,0,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-00,0,98.87367101741822
0,1,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-00,0,148.19390409665158
0,2,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-00,0,618.6672239426936
0,3,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-00,0,925.2205767871754
0,4,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-00,0,1727.9882843774853
0,5,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-00,0,2574.9922910764685
0,6,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-00,0,3373.977576226526
0,7,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-00,0,4254.477033875749
0,8,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-00,0,5001.838269445383
0,9,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-00,0,5551.8551373475575
0,10,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-00,0,7644.201375120655
0,11,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-00,0,8178.594444895899
0,12,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-00,0,8247.975553055754
1,0,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-01,172.41379310344828,99.45157497998152
1,1,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-01,172.41379310344828,149.6721653398555
1,2,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-01,172.41379310344828,620.3369344809618
1,3,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-01,172.41379310344828,926.5113466378838
1,4,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-01,172.41379310344828,1729.811291980359
1,5,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-01,172.41379310344828,2576.2754515057472
1,6,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-01,172.41379310344828,3375.9143746892714
1,7,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-01,172.41379310344828,4254.497052372034
1,8,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-01,172.41379310344828,5003.171531496641
1,9,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-01,172.41379310344828,5553.859498118844
1,10,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-01,172.41379310344828,7644.2605766155775
1,11,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-01,172.41379310344828,8179.967007849191
1,12,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-01,172.41379310344828,8250.028987661339
2,0,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-02,344.82758620689657,101.15487498086317
2,1,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-02,344.82758620689657,154.01871054172867
2,2,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-02,344.82758620689657,625.3192448492179
2,3,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-02,344.82758620689657,930.3727833785682
2,4,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-02,344.82758620689657,1735.2660979859695
2,5,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-02,344.82758620689657,2580.1204147153258
2,6,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-02,344.82758620689657,3381.7151459142033
2,7,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-02,344.82758620689657,4254.559111386034
2,8,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-02,344.82758620689657,5007.16864960732
2,9,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-02,344.82758620689657,5559.863862494938
2,10,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-02,344.82758620689657,7644.445980434598
2,11,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-02,344.82758620689657,8184.0828258866495
2,12,cdc28360-0a48-4d41-aa2a-ee72dcb540cd-02,344.82758620689657,8256.195325859026
