u,freq,bifurcation
0.00016381135938592082,710,False
0.00016848827798458864,710.4999999999109,False
0.00017396115368559565,711.0499999997999,False
0.0001804199733974816,711.6549999996594,False
0.00018811905730593633,712.320499999478,False
0.00019740685551722766,713.0525499992382,False
0.00020877401215337824,713.8578049989118,False
0.00022293423956372272,714.7435854984518,False
0.00024096748005548817,715.7179440477747,False
0.0002645895246709713,716.7897384517212,False
0.00029345757540907743,717.8615328551501,False
0.0003295353711259956,718.9333272577019,False
0.00037590470815553474,720.0051216586703,False
0.0004376907485352058,721.0769160565445,False
0.0005240835451593156,722.1487104477094,False
0.0006533272690769453,723.2205048221011,False
