u,freq,residu Q,relative error u,relative error w
0.00012826195038734042,159.00158074782655,65.99540544216299,0,0
0.0017634965883178803,158.498419226777,1748.056745804186,0,0
0.00022326070499510843,158.99999433022117,22698.180741151602,0,0
0.002497179332851677,158.49684840828212,15911.324672448693,0,0
0.0003029570115486573,158.99840467131827,68134.93132584577,0,0
0.0039738611307507275,158.49533974335932,48971.06186287912,0,0
0.00019611907995650425,158.99677305247135,163709.95825953936,0,0
0.019738508699598006,158.49897264999646,126877.79491048356,0,0
0.008779691443484219,158.98917593846673,2298956.630225372,0,0
0.022283079677727174,158.49974040009073,1841314.5145440362,0,0
