u,freq,bifurcation
0.00012971958036257151,162.764,False
0.00012666486864950123,162.764612226351,True
0.0001705797508630278,162.76524956790018,False
0.00021325635779884014,162.76604935093226,False
0.0002561547749246893,162.76703249795537,False
0.0003002250401424017,162.76822970055233,False
0.00034618914131565834,162.76968030773892,False
0.00039463862898652644,162.77143272416782,False
0.0004461184321905682,162.77354583651086,False
0.000501146720016841,162.77609074450473,False
0.0005602440860837511,162.77915302098455,False
0.0006239428969939958,162.782835572897,False
0.0006928042504174044,162.78726199856305,False
0.0007674181511416619,162.7925807518764,False
0.0008484221004095491,162.79896998207676,False
0.0009364979897616461,162.80664360932442,False
0.001032385230434047,162.81585831279244,False
0.0011368868609627901,162.82692214513494,False
0.0012508762917060854,162.8402048438331,False
0.001375305306874485,162.8561500825962,False
0.0015112123606690867,162.8752902954974,False
0.001659731920998574,162.89826441968825,False
0.0018221057672482405,162.92583915673907,False
0.001999690961027346,162.95893461177369,False
0.0021939748244005275,162.99865487762358,False
0.0024065868724814058,163.0463248666159,False
0.002639313780605058,163.1035345159236,False
0.0028941155150634303,163.17219174472638,False
0.0031731438786897826,163.2545860384075,False
0.0034787628749489985,163.35346480448734,False
0.0038135719708163435,163.47212491675216,False
0.004180431954145447,163.61452264358456,False
0.004582494400852522,163.78540551174166,False
0.005023235917943779,163.9904705093151,False
0.005506496717086045,164.23655407400625,False
0.006036526141194904,164.53185990368402,False
0.006618034909137063,164.88623245528873,False
0.007256257249660913,165.3114850870237,False
0.007957024295669626,165.82179377141986,False
0.008726851654699731,166.4341697468897,False
0.009573044998485356,167.1690264492019,False
0.009955115989366936,167.5217592430449,False
0.009955116472693225,167.52175969753822,False
