u,freq
0.0008405522609694412,156
0.0008464223110984686,156.04999997949554
0.0008529735002655318,156.10499995627794
0.0008602962044745553,156.16549992990662
0.0008684954455871464,156.2320498998495
0.0008776938534341352,156.3052548654591
0.0008880354516021838,156.38578032594077
0.0008996904006953056,156.4743583303103
0.0009128610801958222,156.57179413233658
0.0009277898825503806,156.67897351096335
0.0009447694772633361,156.7968708227498
0.0009641561722650829,156.92655785952223
0.0009863878951625752,157.06921359173919
0.0010120082614779253,157.22613488611492
0.001041699545715323,157.39874829488195
0.0010763282432978132,157.58862302378358
0.0011170088287500639,157.79748519654535
0.001165194130913849,158.02723354526424
0.0012228044988273643,158.27995666894267
0.001292413420060972,158.55795201635252
0.001377512781789532,158.8637467645774
0.0014828822865523214,159.20012078104207
0.0016150685997253483,159.57013187491964
0.0017828957293780615,159.97714356505148
0.0019976841642121413,160.4248556213362
0.0022723650705995246,160.9173376875328
0.0026182879801206495,161.4590663715658
0.0030397866568277953,162.0549662179994
0.0035303899350093105,162.7104547854913
0.004075493011752506,163.4314918564951
0.004659448721339276,164.22463321607836
0.0052706323691967495,165.09708992557339
0.0059024065268170715,166.0567938184737
0.006551979350698986,167.11246968277464
0.0071602199217961045,168.16814687300433
0.007733279478747955,169.22382510084324
0.008276385822885281,170.27950413786067
0.008793821416922672,171.33518380604298
0.009289067631535555,172.3908639655883
0.0097649642022471,173.44654450467118
0.01022384527805276,174.5022253317568
0.010667647054568902,175.55790636993666
0.011097990859818297,176.6135875526982
0.01151624668541386,177.66926882078906
0.011923582055548254,178.72495011970986
0.012320999941431732,179.78063139765436
0.01270936819216289,180.83631260371195
0.013089442734035374,181.89199368621405
0.013461886032493695,182.94767459094913
0.01382728174633192,184.00335525935606
0.014186146629368249,185.059035626279
0.01453894010318011,186.1147156171697
0.014886072148777844,187.17039514452884
0.015227909563089649,188.2260741029444
0.015564781198144842,189.2817523620497
0.015896981920387365,190.33742975606538
0.016224775696186945,191.39310606803983
0.01654839755518332,192.44878100422085
0.01686805421742244,193.50445415039385
0.017183922701221085,194.56012489358534
0.017496145359303654,195.61579226663443
0.017804816897858983,196.6714546064896
0.01810995068913296,197.72710866747602
0.018411372471089805,198.78274664512247
0.01870818618798042,199.8383395503194
0.018824544575337693,200.2605161973832
0.018874251495432724,200.446193967999
0.018882622799705612,200.47883549394126
0.0188911622342699,200.5146464862943
0.018892279445401807,200.5208372976969
0.018892377099920206,200.52187245462204
0.01889212432106847,200.52272110280637
