u,freq,bifurcation
0.00016835499060257524,710.4999999999158,False
0.00017378429126082016,711.0499999998068,False
0.00018018245858041434,711.6549999996694,False
0.0001877956481120557,712.3204999994927,False
0.00019695907985537868,713.0525499992602,False
0.00020814087730812014,713.8578049989462,False
0.00022201565095110882,714.7435854985079,False
0.00023959119837636773,715.7179440478708,False
0.0002624432328513949,716.7897384518967,False
0.00029057276689621684,717.8615328554357,False
0.00032553186374624786,718.9333272581912,False
0.0003701211816050894,720.0051216595649,False
0.0004288857334447976,721.0769160583234,False
0.0005097497794524496,722.1487104516506,False
0.0006276829550748934,723.2205048322488,False
0.0008146137805651508,724.2922991774689,False
