Sweep step,Time,Job id,NNM-1,Iter ,Predictor-1,NNM-0,Bifurcation,Predictor-0
0,23.994647884233927,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,0.6479286388517763,5,-,-,-,-
0,24.004122827939817,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,-,-,0.649290937190228,-,-,-
0,24.069344420937867,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,0.5315430756826421,5,-,-,-,-
0,24.075213300265542,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,-,-,0.5322627153530849,-,-,-
0,24.117740235646316,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,0.43318297989705623,4,-,-,-,-
0,24.121496076233942,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,-,-,0.433568553913429,-,-,-
0,24.149379548128213,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,0.3504942306471517,4,-,-,-,-
0,24.151840795816156,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,-,-,0.3507021613062121,-,-,-
0,24.170135353054828,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,0.2812010081060039,4,-,-,-,-
0,24.171776645957785,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,-,-,0.2813131851540794,-,-,-
0,24.183729780509672,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,0.22324886807283498,4,-,-,-,-
0,24.184838675219044,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,-,-,0.2233091135079035,-,-,-
0,24.19257594999728,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,0.1748435665645723,4,-,-,-,-
0,24.193332149960995,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,-,-,0.17487564978523476,-,-,-
0,24.19826378108126,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,0.13444606985991622,3,-,-,-,-
0,24.198783333019147,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,-,-,0.13446297614929803,-,-,-
0,24.201852088394528,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,0.10075013529081694,3,-,-,-,-
0,24.202210471371203,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,-,-,0.1007589758217089,-,-,-
0,24.204050572756778,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,0.07265433566760134,3,-,-,-,-
0,24.204298406390873,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,-,-,0.0726590081618212,-,-,-
0,24.205336113364535,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,0.04923392536976832,3,-,-,-,-
0,24.20550770358214,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,-,-,0.049236586374385875,-,-,-
0,24.20602926997089,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,0.02971514109736559,3,-,-,-,-
0,24.206148293430903,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,-,-,0.029717078682216763,-,-,-
0,24.20634480879991,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,-,3,-,0.013455390801138297,0.013455390801138297,-
0,24.20642592580635,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,-,-,-,0.000718348222495091,-,-
0,24.206426249111438,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,-,2,-,0.0007198357894536273,-,-
0,24.206457261187417,0a647af0-ee7e-4dbf-8f7d-0577ec2ef54d,-,-,-,-,-,0.013457893855324544
