Sweep step,Time,Job id,NNM-3,Iter ,Predictor-3,Predictor-1,NNM-0,Bifurcation,NNM-1,Predictor-2,NNM-2
0,18.45647176299082,7f7a907d-bcb3-4115-927b-dbc58b3069ea,0.8032110173419275,7,-,-,-,-,-,-,-
0,18.45945654254203,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,-,0.8063905261968625,-,-,-,-,-,-
0,18.467217550567142,7f7a907d-bcb3-4115-927b-dbc58b3069ea,0.6644506438047777,5,-,-,-,-,-,-,-
0,18.468729706661353,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,-,0.666081310776924,-,-,-,-,-,-
0,18.4719689904928,7f7a907d-bcb3-4115-927b-dbc58b3069ea,0.5456069547744355,5,-,-,-,-,-,-,-
0,18.472625726836572,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,-,0.546464369510613,-,-,-,-,-,-
0,18.47390385811595,7f7a907d-bcb3-4115-927b-dbc58b3069ea,0.44492990376330555,5,-,-,-,-,-,-,-
0,18.474181256905705,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,-,0.4453873823773222,-,-,-,-,-,-
0,18.474642652428372,7f7a907d-bcb3-4115-927b-dbc58b3069ea,0.36017072929326727,4,-,-,-,-,-,-,-
0,18.47475639430904,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,-,0.36041629690684207,-,-,-,-,-,-
0,18.474857135327085,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,-,-,0.01405275890023847,-,-,-,-,-
0,18.474858912686916,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,2,-,-,0.00021350253330063604,0.00021350253330063604,-,-,-
0,18.4748589261108,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,-,-,-,0.00021203791473838542,-,-,-,-
0,18.474859683088,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,3,-,-,-,0.01405221962820694,0.01405221962820694,-,-
0,18.47486155178458,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,-,-,-,-,-,-,0.030770486341225645,-
0,18.47486261044737,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,3,-,-,-,-,-,-,0.03076974879161774
0,18.474867407233557,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,-,-,-,-,-,-,0.050830906957104814,-
0,18.474868839733386,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,3,-,-,-,-,-,-,0.05082908266310197
0,18.47487798845519,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,-,-,-,-,-,-,0.0748992913834807,-
0,18.474879785438088,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,3,-,-,-,-,-,-,0.07489502093692323
0,18.47489134170383,7f7a907d-bcb3-4115-927b-dbc58b3069ea,0.2890779637399911,4,-,-,-,-,-,-,-
0,18.47489486594753,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,-,-,-,-,-,-,0.10377181565109951,-
0,18.474896662142886,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,3,-,-,-,-,-,-,0.10376261438372868
0,18.474918620719087,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,-,-,-,-,-,-,0.1383991423946569,-
0,18.474919304874355,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,4,-,-,-,-,-,-,0.13838042571897324
0,18.474935280875506,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,-,0.28920961495702935,-,-,-,-,-,-
0,18.4749429257307,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,4,-,-,-,-,-,-,0.17987658946226545
0,18.47494630290336,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,-,-,-,-,-,-,0.17991324157634658,-
0,18.47494999203869,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,4,-,-,-,0.22958633026004516,-,-,0.22958633026004516
0,18.47496484384325,7f7a907d-bcb3-4115-927b-dbc58b3069ea,-,-,-,-,-,-,-,0.22965633817624295,-
