Sweep step,Time,Job id,Predictor-1,NNM-0,Iter ,Bifurcation,NNM-1,Predictor-2,NNM-2
0,16.496871413822817,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,0.013965132102355502,-,-,-,-,-,-
0,16.49687348168098,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,0.00012670505619828307,2,0.00012670505619828307,-,-,-
0,16.49687357801139,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,0.00012546828064507125,-,-,-,-,-
0,16.49691447971323,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,3,0.013965117413018731,0.013965117413018731,-,-
0,16.497013734777322,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,-,-,-,0.030865253921991475,-
0,16.497073778303378,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,3,-,-,-,0.03086481788230403
0,16.497336949371597,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,-,-,-,0.05114369695267139,-
0,16.497423358524834,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,3,-,-,-,0.05114200860311986
0,16.497946518994066,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,-,-,-,0.07547301436600647,-
0,16.49807090389256,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,3,-,-,-,0.07546861483973086
0,16.498997276294965,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,-,-,-,0.10465743008452004,-
0,16.49917583549355,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,3,-,-,-,0.10464759825386168
0,16.50071591922773,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,-,-,-,0.13965661772814544,-
0,16.500972864267695,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,4,-,-,-,0.1396363100358561
0,16.503436181610564,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,-,-,-,0.1816122771954562,-
0,16.503804972152373,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,4,-,-,-,0.18157221969112786
0,16.50764309889079,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,-,-,-,0.23187636641732212,-
0,16.508170308802452,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,4,-,-,-,0.23179956998163567
0,16.514036496389913,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,-,-,-,0.29203822847958616,-
0,16.514786548378506,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,4,-,-,-,0.2918935281433704
0,16.523616305409714,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,-,-,-,0.36394446529845004,-
0,16.524676707884044,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,4,-,-,-,0.3636742881024381
0,16.53779026327842,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,-,-,-,0.44969834967854877,-
0,16.53927510251115,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,5,-,-,-,0.44919482659366367
0,16.558510624048186,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,-,-,-,0.5516101358138331,-
0,16.56053591521832,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,5,-,-,-,0.550666584993155
0,16.58834048195519,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,-,-,-,0.6720348533127214,-
0,16.59101296789265,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,6,-,-,-,0.6702418348051613
0,16.63052501805521,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,-,-,-,0.812949452005498,-
0,16.63450258053539,71bcd74c-fe79-4d02-bebc-77fba4f20e8f,-,-,6,-,-,-,0.8094580077544874
