freq;ampx;ampy;ampz;dc0x;cos1x;sin1x;cos2x;sin2x;cos3x;sin3x;dc0y;cos1y;sin1y;cos2y;sin2y;cos3y;sin3y;dc0z;cos1z;sin1z;cos2z;sin2z;cos3z;sin3z
1;0.006071536265117835;2.317967633127923e-13;4.506633528553985e-05;-5.223860392242934e-08;0.006071446536413012;2.347559515606497e-06;-5.223857548013933e-08;-3.716540149057069e-11;-1.474847457922246e-08;-1.586939199441169e-11;-5.950806781303085e-14;-1.127792899837977e-13;4.222026061825211e-17;-5.944363561038864e-14;-2.063447892631344e-17;-6.576990557513669e-17;-1.104921672779294e-18;-1.110538244578502e-05;-2.285566217296608e-05;-8.130656141157018e-09;-1.110536515714627e-05;-8.439642577847362e-09;7.449035751779255e-11;7.539805502753679e-14
1.099999995101132;0.006073534519953205;1.357492437283247e-13;4.508762570587269e-05;-5.227028495172434e-08;0.006073444740510235;2.584064806607005e-06;-5.227036345650173e-08;-4.090641742413587e-11;-1.476120543882197e-08;-1.747951710625818e-11;-3.675855294083788e-14;-6.212272198416477e-14;-3.877324428616601e-17;-3.684067837278694e-14;-3.749075237716974e-17;-2.729043053514984e-17;-5.610959104408572e-19;-1.111256766484144e-05;-2.286258281190965e-05;-8.949770755067293e-09;-1.111254977816614e-05;-9.292907823894141e-09;7.45490445343492e-11;8.298714315442625e-14
1.209999988579378;0.006075955609681931;2.041159659391096e-13;4.511342734921176e-05;-5.230873324235773e-08;0.006075865767946909;2.844802898617907e-06;-5.230867120758296e-08;-4.507037690805001e-11;-1.477566942880766e-08;-1.925679614080178e-11;3.386206262579694e-14;1.363766668356535e-13;-1.847045487771379e-17;3.391986149887957e-14;-4.432419661339783e-19;-4.262502122037725e-17;-8.061907451895334e-19;-1.112127639286425e-05;-2.287096778788441e-05;-9.852810080200189e-09;-1.112125778454335e-05;-1.023460102986477e-08;7.461608024652943e-11;9.149040445862037e-14
1.330999979905443;0.006078886881698083;1.866934953900053e-13;4.514467540848028e-05;-5.235572104204526e-08;0.006078796963488389;3.132390138323112e-06;-5.235568041791364e-08;-4.965152476290366e-11;-1.479319176638132e-08;-2.121937371089072e-11;2.424360649228045e-14;1.379297141921898e-13;8.015414867621371e-17;2.449425223441882e-14;3.124458538612623e-17;2.592247111620464e-17;-4.522770221903595e-19;-1.113182488295029e-05;-2.288111982748161e-05;-1.084883447263606e-08;-1.113180539750328e-05;-1.12745946550786e-08;7.469945490415102e-11;1.008182662006256e-13
1.46409996835908;0.00608243675260859;1.016210147006635e-13;4.518253085885334e-05;-5.241263610921104e-08;0.006082346742101595;3.44977121353333e-06;-5.241230612593736e-08;-5.470713874516522e-11;-1.481443523997422e-08;-2.338906870234559e-11;1.208902731947045e-14;7.752314718035492e-14;2.939721992311747e-17;1.203009138559179e-14;-2.980789544193809e-18;-2.125118475368591e-17;-7.647880715963352e-19;-1.114460610288496e-05;-2.289341400309333e-05;-1.19480405703148e-08;-1.11445855522672e-05;-1.242410612292171e-08;7.479939214287473e-11;1.111134367183449e-13
1.610509952956637;0.006086739919976625;1.700626916308175e-13;4.522843936997794e-05;-5.248032868958365e-08;0.006086649799750292;3.80027357077235e-06;-5.24801120439002e-08;-6.028916305264028e-11;-1.48402144005275e-08;-2.579713486539867e-11;1.405507026943206e-14;1.418212794169965e-13;-1.087702605621447e-16;1.417666414104393e-14;-4.022719470944185e-17;9.677803345060979e-18;-1.251925261090075e-18;-1.116010946438205e-05;-2.290831720706206e-05;-1.316195016479991e-08;-1.116008761595947e-05;-1.369595437147185e-08;7.491742565112596e-11;1.224762892728186e-13
1.771560932430373;0.006091952778739222;3.245938313080152e-13;4.528408130044218e-05;-5.256241988079916e-08;0.006091862525095952;4.187670889333385e-06;-5.256271288208846e-08;-6.650018338684613e-11;-1.487148949317458e-08;-2.846718174169867e-11;5.65974487092151e-14;2.113614637235494e-13;-2.454104617153597e-17;5.664826695760667e-14;2.265518886175071e-17;-1.334808235602752e-17;-1.001943124229793e-18;-1.11789046228465e-05;-2.292637054779819e-05;-1.450362926654118e-08;-1.117888119191234e-05;-1.510484386772181e-08;7.506211484740101e-11;1.351884719258681e-13
1.948717005018168;0.006098273997176672;8.881798066892786e-14;4.535159703313493e-05;-5.266307993672014e-08;0.006098183580253541;4.616277992390487e-06;-5.266333374751815e-08;-7.337140853100602e-11;-1.490949055342049e-08;-3.143803112599764e-11;-3.589361029867782e-14;-1.707748700063429e-14;8.032297710640458e-17;-3.582858750540894e-14;-1.901702871212716e-17;-1.829586420682595e-17;4.645557587615956e-19;-1.120171739974762e-05;-2.294826283240163e-05;-1.598801759639747e-08;-1.120169204028045e-05;-1.666784200993548e-08;7.523929477190985e-11;1.492521943441071e-13
2.143588678394141;0.006105940092123904;7.235692638736392e-14;4.543353924570211e-05;-5.27849686418512e-08;0.00610584947776404;5.091046726601244e-06;-5.278507629933645e-08;-8.101913573087239e-11;-1.495568507759526e-08;-3.474396717371775e-11;-1.506748248834446e-14;-4.205645124627862e-14;1.180793227736025e-16;-1.518221782576785e-14;1.382080903303062e-17;-5.077482697299733e-17;-2.977286311855395e-18;-1.122941494888086e-05;-2.297481251705506e-05;-1.763225859452766e-08;-1.122938723288053e-05;-1.84048389247932e-08;7.545311433052925e-11;1.649549410741843e-13
2.357947510388152;0.00611524382029326;1.59350355779764e-13;4.55330781114025e-05;-5.293314236621262e-08;0.006115152965946043;5.617720661631371e-06;-5.293313040205796e-08;-8.953752676713714e-11;-1.501192555178678e-08;-3.844839203622912e-11;2.787606915645396e-14;1.035029691892859e-13;-8.072940609263331e-17;2.802450726121486e-14;-1.277302074836359e-17;-5.318982719080254e-17;-6.940816204874267e-19;-1.126307535319253e-05;-2.300703372148987e-05;-1.945623606971938e-08;-1.126304475059801e-05;-2.033932455569728e-08;7.571387791609379e-11;1.825245219522602e-13
