Sweep step,Time,Job id,Forward-0,Iter ,Predictor-0
0,18.290151,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.015303843369569171,-,-
0,18.298979503461858,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.016065182285189702,3,-
0,18.2991272967144,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.016041081872951123
0,18.308317848186114,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.016957914911908203,3,-
0,18.30851539926397,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.016928724728683255
0,18.318093812143697,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.018005818965347184,3,-
0,18.318355981250924,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.017971106932920953
0,18.328198200598575,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.0192348467093413,3,-
0,18.32853832001076,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.019194996837367653
0,18.33848529468239,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.020671877838868494,3,-
0,18.338914431548023,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.020627958261391202
0,18.348781685346257,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.022343093559822932,3,-
0,18.349305565238748,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.02229686539650444
0,18.358903730580064,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.024272508280216588,3,-
0,18.359515042362776,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.02422663256362297
0,18.368680463661963,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.02648132009757395,3,-
0,18.369359964810613,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.026438563512719657
0,18.377973587742755,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.028988438791440148,3,-
0,18.378695697289025,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.02895092166421987
0,18.386688711136383,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.031811864099356955,3,-
0,18.387424854935485,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.03178088936995957
0,18.39477555199123,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.034970392616144076,3,-
0,18.395502305517454,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.03494632339956996
0,18.402220813821938,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.03848502122931407,3,-
0,18.4029207970304,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.038467660381498486
0,18.40903791246927,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.04237986835856429,3,-
0,18.4096952209427,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.04236898247939292
0,18.415257369019482,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.046682651031776705,3,-
0,18.415868787082694,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.0466777679985812
0,18.420919047927725,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.05142478963856118,3,-
0,18.421480874077826,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.05142579585825747
0,18.426066902548534,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.05664133869557043,3,-
0,18.42657999070187,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.05664845322952569
0,18.430745468439163,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.0623707608904705,3,-
0,18.43121327347463,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.06238456970630326
0,18.434997976343077,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.06865459372212007,3,-
0,18.435421321990344,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.06867633104288873
0,18.438865181142944,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.07553696861747843,3,-
0,18.439249620227194,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.07556842136862547
0,18.442384920808102,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.08306395010801261,3,-
0,18.442732294654338,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.08310782023873506
0,18.445591970111128,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.09128257811091245,3,-
0,18.44590655829646,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.091342401888576
0,18.44851811085153,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.10023944378489166,3,-
0,18.448802507805247,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.10032018068208345
0,18.451192314819767,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.10997901341145286,3,-
0,18.451449558828056,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.11008737570089351
0,18.453640990301633,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.12054037430087224,5,-
0,18.453873001992896,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.12068583726593701
0,18.45588797422147,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.13195482308217332,5,-
0,18.456097458816085,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.13214866322609856
0,18.457955068728705,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.14423965192578297,5,-
0,18.45814446864389,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.14449840667685024
0,18.459862053333637,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.1573921284925096,5,-
0,18.46003330393964,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.15773601649459743
0,18.461626960103782,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.1713807499670561,5,-
0,18.461781649841004,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.17183698769691796
0,18.463266276725772,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.18613407324773948,5,-
0,18.463405466817008,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.1867402272724638
0,18.464795231994987,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.2015263945651987,5,-
0,18.4649209334781,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.20232776037292247
0,18.466228172648737,5470c5e1-0d27-46f8-ac1d-23481688a2c4,0.2173599322535058,5,-
0,18.46634137376654,5470c5e1-0d27-46f8-ac1d-23481688a2c4,-,-,0.2184152108768697
