Sweep step,Time,Job id,Forward-0,Iter ,Predictor-0,Predictor-1,Forward-1,Bifurcation,Predictor-2,Forward-2
0,16.331931,85283cb4-ff61-4780-9b7a-bb247a0d97df,0.01549454461592976,-,-,-,-,-,-,-
0,16.340370892855965,85283cb4-ff61-4780-9b7a-bb247a0d97df,0.016322039907389077,3,-,-,-,-,-,-
0,16.340546616067478,85283cb4-ff61-4780-9b7a-bb247a0d97df,-,-,0.016296197383722108,-,-,-,-,-
0,16.34921777460023,85283cb4-ff61-4780-9b7a-bb247a0d97df,0.017290245700485013,3,-,-,-,-,-,-
0,16.349447593384728,85283cb4-ff61-4780-9b7a-bb247a0d97df,-,-,0.01725984411819929,-,-,-,-,-
0,16.358380810421597,85283cb4-ff61-4780-9b7a-bb247a0d97df,0.01842239158136486,3,-,-,-,-,-,-
0,16.358678463648452,85283cb4-ff61-4780-9b7a-bb247a0d97df,-,-,0.018387364778229043,-,-,-,-,-
0,16.367737909473078,85283cb4-ff61-4780-9b7a-bb247a0d97df,0.01974272079233004,3,-,-,-,-,-,-
0,16.368113074106738,85283cb4-ff61-4780-9b7a-bb247a0d97df,-,-,0.01970392936358576,-,-,-,-,-
0,16.377141874234972,85283cb4-ff61-4780-9b7a-bb247a0d97df,0.02127522515931436,3,-,-,-,-,-,-
0,16.37759966588857,85283cb4-ff61-4780-9b7a-bb247a0d97df,-,-,0.021234149879084632,-,-,-,-,-
0,16.386434123878836,85283cb4-ff61-4780-9b7a-bb247a0d97df,0.023042381693850162,3,-,-,-,-,-,-
0,16.386969664166394,85283cb4-ff61-4780-9b7a-bb247a0d97df,-,-,0.02300121942490755,-,-,-,-,-
0,16.395463009228745,85283cb4-ff61-4780-9b7a-bb247a0d97df,0.025064522268949153,3,-,-,-,-,-,-
0,16.396063095871593,85283cb4-ff61-4780-9b7a-bb247a0d97df,-,-,0.025025523151329655,-,-,-,-,-
0,16.40410117296215,85283cb4-ff61-4780-9b7a-bb247a0d97df,0.027360077751307537,3,-,-,-,-,-,-
0,16.404744368334814,85283cb4-ff61-4780-9b7a-bb247a0d97df,-,-,0.02732522102424791,-,-,-,-,-
0,16.412256563399215,85283cb4-ff61-4780-9b7a-bb247a0d97df,0.029946625979814824,3,-,-,-,-,-,-
0,16.412916981772145,85283cb4-ff61-4780-9b7a-bb247a0d97df,-,-,0.029917293344691398,-,-,-,-,-
0,16.419874955525927,85283cb4-ff61-4780-9b7a-bb247a0d97df,0.032842300175998276,3,-,-,-,-,-,-
0,16.42053205858306,85283cb4-ff61-4780-9b7a-bb247a0d97df,-,-,0.03281891807424257,-,-,-,-,-
0,16.42693553383394,85283cb4-ff61-4780-9b7a-bb247a0d97df,0.03606704735897096,3,-,-,-,-,-,-
0,16.427573333491498,85283cb4-ff61-4780-9b7a-bb247a0d97df,-,-,0.036049530546120735,-,-,-,-,-
0,16.433443210837627,85283cb4-ff61-4780-9b7a-bb247a0d97df,0.03964353571802591,3,-,-,-,-,-,-
0,16.434047855537948,85283cb4-ff61-4780-9b7a-bb247a0d97df,-,-,0.03963168005682883,-,-,-,-,-
0,16.43942033340425,85283cb4-ff61-4780-9b7a-bb247a0d97df,0.04359769372032855,3,-,-,-,-,-,-
0,16.439985300818275,85283cb4-ff61-4780-9b7a-bb247a0d97df,-,-,0.04359113065523341,-,-,-,-,-
