x, y
0.9999799199863467, 0.006866946465715618
0.9999799199863467, 0.02575104106038764
0.9999397584270334, 0.04377677962591414
0.999899598399727, 0.07296134303543494
0.9998393568267604, 0.10214590644495575
0.9995983935989078, 0.14763949636171197
0.9993574303710551, 0.19055791995848043
0.9990361440245759, 0.22575107380457127
0.9986746991827969, 0.2626609397089533
0.9982530127680515, 0.3021459064449558
0.9978313248212991, 0.33047211382533115
0.9973895583929003, 0.36394849012476355
0.9968273088185684, 0.39484979833675926
0.9962449807625902, 0.42660942983371686
0.9956224896152917, 0.45836911044694995
0.9950200800136533, 0.48412016787942946
0.9944377519576749, 0.509012885654855
0.9937349407557635, 0.5347639594594262
0.9930722895811586, 0.5596566608627602
