x, y
0.9999799199863467, 0.01630899376305156
1, 0.04120171153847729
1, 0.07210298700628939
0.9999799199863467, 0.10300426247410141
0.9999799199863467, 0.13905580509352156
1.0000401600273066, 0.17682396153868193
1.0000401600273066, 0.21030043607066526
1.0000401600273066, 0.2549356044699085
1.0000401600273066, 0.2935622151767654
0.9999799199863467, 0.3356223154885719
0.9999799199863467, 0.3733905701662832
0.9999598399726936, 0.4309012590957203
0.9999397584270334, 0.47725322141371374
0.9998594383724204, 0.5193133053534285
0.9997791167858007, 0.563090134095618
0.9996787151855275, 0.5939914259355219
