x,y
0.9999601592142028, 0.0008583560291456072
0.9999601592142028, 0.027467785862862387
0.9999601592142028, 0.05665234927238327
0.9999203191883054, 0.08068664553029617
0.9998007960710141, 0.11845490020800734
0.9996812744735224, 0.1630901013514343
0.999541832863082, 0.20600855769238635
0.9993426296939959, 0.24206006756762283
0.9991035849792129, 0.2772532214137138
0.9988047802255838, 0.32360513461543183
0.9984262954201599, 0.36566523492723835
0.9979880475362909, 0.40686694646571564
0.9976095612110675, 0.4463518968296263
0.9970517932495062, 0.4858369126819042
0.9965139437810941, 0.5193133053534285
0.9958964142608873, 0.5562231712578105
0.9950199200129487, 0.6025751090176663
