Sweep step,Time,Job id,Forward-1,Iter ,Theta [°],length_s,Predictor-1,Predictor-2,Forward-2,Bifurcation,Predictor-3,Forward-3
0,157,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,0.0014876188382268092,-,-,-,-,-,-,-,-,-
0,157.49999769552178,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,0.0016893718188499397,2,0.021552587308827222,2.1695590377157434,-,-,-,-,-,-
0,157.49999815622763,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,-,-,-,0.0016670474078983224,-,-,-,-,-
0,159.66952459189199,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,0.003417663350759109,4,0.18356327154235108,7.382992403533756,-,-,-,-,-,-
0,159.6695439690159,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,-,-,-,0.0026729058665474936,-,-,-,-,-
0,160.85074226598297,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,0.004993712516931133,4,0.05196290633287408,4.897149043420366,-,-,-,-,-,-
0,160.85075332093805,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,-,-,-,0.004845840769802276,-,-,-,-,-
0,161.63424059947891,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,-,-,-,0.006089218247467546,-,-,-,-,-
0,161.63424144968158,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,0.006069335325934212,3,0.031564659606811436,3.3492108628430364,-,-,-,-,-,-
0,162.90734719701558,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,-,-,-,-,0.0038942847675110196,-,-,-,-
0,162.9073472732089,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,-,-,-,-,0.0038954094145834347,-,-,-,-
0,162.90734737445396,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,1,1.2139101547576618,0.000006251729746502415,-,-,0.003894284268027154,0.003894284268027154,-,-
0,162.9073473792491,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,1,0.7947731037173738,0.000008616882988627548,-,-,0.0038954086926759877,-,-,-
0,162.9073474717142,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,-,-,-,-,0.0038962361125668725,-,-,-,-
0,162.90734750341994,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,-,-,-,-,-,-,-,0.0038934688197554317,-
0,162.9073475964753,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,1,0.8813541077934675,0.000007469492237008191,-,-,-,-,-,0.0038934690652998876
0,162.90734760104937,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,1,1.1234086697758188,0.000006333690430110076,-,-,0.0038962346089881444,-,-,-
0,162.90734797650535,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,-,-,-,-,-,-,-,0.003892495826484235,-
0,162.9073480039011,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,-,-,-,-,0.003897228861800996,-,-,-,-
0,162.9073481059808,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,1,1.068088847842388,0.000006744273344880507,-,-,-,-,-,0.003892496679794572
0,162.90734814479,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,1,0.9969620648298352,0.000007621674355653601,-,-,0.00389722655365102,-,-,-
0,162.90734869129298,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,-,-,-,-,-,-,-,0.0038916201068629397,-
0,162.90734880781417,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,1,0.8529442286571371,0.000008408788496192379,-,-,-,-,-,0.0038916214254358546
0,162.90734883153382,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,-,-,-,-,0.0038982133804324618,-,-,-,-
0,162.90734894633795,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,1,0.950725590400288,0.00000758702214013471,-,-,0.003898210993511323,-,-,-
0,162.90734978937604,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,-,-,-,-,0.0038991250909007243,-,-,-,-
0,162.90734980712904,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,-,-,-,-,-,-,-,0.0038905321393310813,-
0,162.90734993765713,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,1,1.0982823460622433,0.000007046475481533841,-,-,0.0038991212557462863,-,-,-
0,162.90734996765306,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,1,1.1723931206586935,0.00000649276011368977,-,-,-,-,-,0.0038905346373961165
0,162.90735099443458,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,-,-,-,-,-,-,-,0.0038896982047447776,-
0,162.90735109724588,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,1,0.808683418963135,0.000008650893401541586,-,-,-,-,-,0.003889700347443781
0,162.9073512435365,b58bef4e-f4f3-4a54-ae9d-f4a56052530d,-,-,-,-,-,0.003900174109070281,-,-,-,-
