MPI,generate matrix (s),solve (s),total time (s),u_1,f_1,time_1,u_2,f_2,time_2
1,6.47011,5.04391,11.583,0.0010243094142026038,168,7.85398,0.0011257223126397093,167.50000101921512,3.7249
2,4.59229,11.3338,15.9936,0.0010243094141845184,168,10.5866,0.0011257223516846994,167.50000101921592,5.39314
3,4.78884,9.95549,14.8157,0.001024309414497431,168,9.70846,0.0011257223254971627,167.5000010192153,5.09994
4,3.79579,13.7567,17.6244,0.0010243094135373124,168,11.4279,0.001125722389613325,167.50000101921668,6.18605
