Sweep step,Time,Job id,Predictor-3,Backward-3,Iter ,Theta [°],length_s,Predictor-1,Backward-1,Bifurcation,Predictor-2,Backward-2
0,3.578242752720877,f1453bda-edb1-4434-8955-e90987a2a632,0.03236995609891396,-,-,-,-,-,-,-,-,-
0,3.5782927489375074,f1453bda-edb1-4434-8955-e90987a2a632,-,0.03236761885265302,2,1.9087080053131553,0.0015044906687373095,-,-,-,-,-
0,3.5795676700229304,f1453bda-edb1-4434-8955-e90987a2a632,-,0.03247008007607593,2,1.9261963350013878,0.002144289833248444,-,-,-,-,-
0,3.5796395291542424,f1453bda-edb1-4434-8955-e90987a2a632,0.03246713260039858,-,-,-,-,-,-,-,-,-
0,3.581315523539637,f1453bda-edb1-4434-8955-e90987a2a632,0.03262127170929011,-,-,-,-,-,-,-,-,-
0,3.581390782222992,f1453bda-edb1-4434-8955-e90987a2a632,-,0.03261781971253766,2,1.4601569753618475,0.003083010593474109,-,-,-,-,-
0,3.583459042217546,f1453bda-edb1-4434-8955-e90987a2a632,-,0.03278642358108154,2,2.009100551192525,0.0035112955525686993,-,-,-,-,-
0,3.583517461787569,f1453bda-edb1-4434-8955-e90987a2a632,0.032784014349191,-,-,-,-,-,-,-,-,-
0,3.586418503236706,f1453bda-edb1-4434-8955-e90987a2a632,0.03304526269053329,-,-,-,-,-,-,-,-,-
0,3.5865235694341786,f1453bda-edb1-4434-8955-e90987a2a632,-,0.033040489533443684,2,0.46413618911882254,0.005262127161186746,-,-,-,-,-
0,3.5886297897131554,f1453bda-edb1-4434-8955-e90987a2a632,-,0.03321712336371449,2,2.60709664184107,0.003642256629904625,-,-,-,-,-
0,3.5887130094214155,f1453bda-edb1-4434-8955-e90987a2a632,0.03321379962057212,-,-,-,-,-,-,-,-,-
0,3.5927215122318223,f1453bda-edb1-4434-8955-e90987a2a632,0.033580791698042664,-,-,-,-,-,-,-,-,-
0,3.5928283243581363,f1453bda-edb1-4434-8955-e90987a2a632,-,0.033576185627556605,2,0.36279548283047375,0.007360675907247579,-,-,-,-,-
0,3.595397081653306,f1453bda-edb1-4434-8955-e90987a2a632,0.03382065985172841,-,-,-,-,-,-,-,-,-
0,3.595562358533697,f1453bda-edb1-4434-8955-e90987a2a632,-,0.03381369000591549,3,2.122184757946236,0.004843073332012609,-,-,-,-,-
0,3.5995724662490867,f1453bda-edb1-4434-8955-e90987a2a632,0.03420351949767855,-,-,-,-,-,-,-,-,-
0,3.5998354525527136,f1453bda-edb1-4434-8955-e90987a2a632,-,0.03419281311760866,3,2.3867635580294677,0.007680171549897913,-,-,-,-,-
