Sweep step,Time,Job id,NNM-1,Iter ,Predictor-1,NNM-0,Bifurcation
0,13.647771620120553,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,-,-,0.3587807696776149,-,-
0,13.904058095257383,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,-,-,0.2926439581816761,-,-
0,13.920228988893227,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,0.2928170361295803,6,-,-,-
0,14.170849724068287,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,-,-,0.23804520656863762,-,-
0,14.171237706795932,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,0.23792261461831674,5,-,-,-
0,14.397806868055117,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,0.1923279567359718,5,-,-,-
0,14.404499014740924,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,-,-,0.19259948240724747,-,-
0,14.582333207713924,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,0.15403742726074887,5,-,-,-
0,14.590736323050043,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,-,-,0.15429983007400408,-,-
0,14.723364904511044,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,0.12166219743364076,5,-,-,-
0,14.731293168938842,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,-,-,0.1218635358188168,-,-
0,14.826606706764377,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,0.09425605278876138,4,-,-,-
0,14.833864821369046,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,-,-,0.09440248171720844,-,-
0,14.899401802509521,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,0.07109038013823564,4,-,-,-
0,14.905765973940948,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,-,-,0.07118757311359507,-,-
0,14.948121311150823,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,0.05154843408212898,6,-,-,-
0,14.95355605333768,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,-,-,0.05160545685843439,-,-
0,14.978232187484211,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,0.03510495327859578,4,-,-,-
0,14.98221228389235,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,-,-,0.03513073451986565,-,-
0,14.994940920418262,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,0.021314590538310706,4,-,-,-
0,14.997805548482827,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,-,-,0.021323103022727767,-,-
0,15.002703210084707,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,0.009783035546714336,4,-,-,-
0,15.004712586736495,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,-,-,0.009783045959510002,-,-
0,15.004778619015461,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,-,4,-,0.0001603784790059036,0.0001603784790059036
0,15.004779186837004,d6964831-c6c9-4a71-9ee2-3d0aabd37a98,-,-,-,0.00008018923602991374,-
