Sweep step,Time,Job id,Forward-1,Iter ,Theta [°],length_s,Predictor-1,Predictor-2,Forward-2,Bifurcation,Predictor-3,Forward-3
0,13,0b157970-1b7b-4a6e-8eee-41a2d26d2cf9,0.0018179989296005187,-,-,-,-,-,-,-,-,-
0,13.049997128482113,0b157970-1b7b-4a6e-8eee-41a2d26d2cf9,0.0018609799429154855,2,0.01582605941099273,0.05500000000000001,-,-,-,-,-,-
0,13.049997268844391,0b157970-1b7b-4a6e-8eee-41a2d26d2cf9,-,-,-,-,0.0018599034275380885,-,-,-,-,-
0,13.104993609671777,0b157970-1b7b-4a6e-8eee-41a2d26d2cf9,0.001910885476137071,2,0.018930415004847045,0.06050000000000001,-,-,-,-,-,-
0,13.104993802877033,0b157970-1b7b-4a6e-8eee-41a2d26d2cf9,-,-,-,-,0.0019094771251515392,-,-,-,-,-
0,13.165489236000985,0b157970-1b7b-4a6e-8eee-41a2d26d2cf9,0.001969245344365291,2,0.022794833307827268,0.06655000000000001,-,-,-,-,-,-
0,13.165489506409783,0b157970-1b7b-4a6e-8eee-41a2d26d2cf9,-,-,-,-,0.0019673841986007183,-,-,-,-,-
0,13.232033708915473,0b157970-1b7b-4a6e-8eee-41a2d26d2cf9,0.0020380624797649263,2,0.027941146708650614,0.07320500000000002,-,-,-,-,-,-
0,13.232034096302934,0b157970-1b7b-4a6e-8eee-41a2d26d2cf9,-,-,-,-,0.002035563924232473,-,-,-,-,-
0,13.305231586321073,0b157970-1b7b-4a6e-8eee-41a2d26d2cf9,0.002120011428271887,2,0.03463225945959092,0.08052550000000003,-,-,-,-,-,-
0,13.305232152034426,0b157970-1b7b-4a6e-8eee-41a2d26d2cf9,-,-,-,-,0.0021166233409828997,-,-,-,-,-
0,13.385747691817496,0b157970-1b7b-4a6e-8eee-41a2d26d2cf9,0.0022187460127621695,2,0.04367337761995261,0.08857805000000003,-,-,-,-,-,-
0,13.385748543857929,0b157970-1b7b-4a6e-8eee-41a2d26d2cf9,-,-,-,-,0.00221405732705935,-,-,-,-,-
0,13.474312999052765,0b157970-1b7b-4a6e-8eee-41a2d26d2cf9,0.0023393932712927968,2,0.056445749471745126,0.09743585500000004,-,-,-,-,-,-
0,13.474314326386718,0b157970-1b7b-4a6e-8eee-41a2d26d2cf9,-,-,-,-,0.0023327665811361704,-,-,-,-,-
0,13.571730968618567,0b157970-1b7b-4a6e-8eee-41a2d26d2cf9,0.0024893795199261025,2,0.07508150462657123,0.10717944050000006,-,-,-,-,-,-
0,13.57173311686592,0b157970-1b7b-4a6e-8eee-41a2d26d2cf9,-,-,-,-,0.002479799861877452,-,-,-,-,-
