Sweep step,Time,Job id,Backward-2,Iter ,length_s,Predictor-2,Predictor-0,Backward-0,Bifurcation,Predictor-1,Backward-1
0,3.8847346424097684,3f1ca13f-009e-456b-a07c-a2286ffc5353,0.1462231904840973,5,0.19572682599417615,-,-,-,-,-,-
0,3.885194054333947,3f1ca13f-009e-456b-a07c-a2286ffc5353,-,-,-,0.14629438519295887,-,-,-,-,-
0,3.8913657201222516,3f1ca13f-009e-456b-a07c-a2286ffc5353,0.15740466122769114,5,0.19526840339635052,-,-,-,-,-,-
0,3.8916654170980456,3f1ca13f-009e-456b-a07c-a2286ffc5353,-,-,-,0.157481783329098,-,-,-,-,-
0,3.897199263610952,3f1ca13f-009e-456b-a07c-a2286ffc5353,0.16848687252104894,5,0.19470794504638456,-,-,-,-,-,-
0,3.8974664773305965,3f1ca13f-009e-456b-a07c-a2286ffc5353,-,-,-,0.1685676381999552,-,-,-,-,-
0,3.902372807034392,3f1ca13f-009e-456b-a07c-a2286ffc5353,0.17940449419068702,5,0.19308891815354393,-,-,-,-,-,-
0,3.9025603902155725,3f1ca13f-009e-456b-a07c-a2286ffc5353,-,-,-,0.17948792053243418,-,-,-,-,-
0,3.90702502333666,3f1ca13f-009e-456b-a07c-a2286ffc5353,0.19013742493975277,5,0.1911796405109514,-,-,-,-,-,-
0,3.9072210982788227,3f1ca13f-009e-456b-a07c-a2286ffc5353,-,-,-,0.19022539685729187,-,-,-,-,-
0,3.911270308790857,3f1ca13f-009e-456b-a07c-a2286ffc5353,0.20076280919931783,5,0.19071476507253746,-,-,-,-,-,-
0,3.9114462385938915,3f1ca13f-009e-456b-a07c-a2286ffc5353,-,-,-,0.2008538054473516,-,-,-,-,-
0,3.9151462681939067,3f1ca13f-009e-456b-a07c-a2286ffc5353,0.211219668135344,5,0.18922067877064494,-,-,-,-,-,-
0,3.9152745064532066,3f1ca13f-009e-456b-a07c-a2286ffc5353,-,-,-,0.21131968521241587,-,-,-,-,-
0,3.918789871513093,3f1ca13f-009e-456b-a07c-a2286ffc5353,0.2216718226806116,5,0.19080073108292306,-,-,-,-,-,-
0,3.918890138071906,3f1ca13f-009e-456b-a07c-a2286ffc5353,-,-,-,0.22177388330021439,-,-,-,-,-
0,3.922158121532905,3f1ca13f-009e-456b-a07c-a2286ffc5353,0.2319473068761003,5,0.1893432616130096,-,-,-,-,-,-
0,3.922261595694541,3f1ca13f-009e-456b-a07c-a2286ffc5353,-,-,-,0.2320565263683855,-,-,-,-,-
